"","tSNE1","tSNE2","class","true_label"
"110",12.4711019962897,-30.6514740018708,"6","Basal"
"111",4.87959713196192,-11.2052446845712,"9","LumB"
"112",-16.1745412163003,25.3092430803043,"2","LumB"
"113",1.52629205149008,-14.4408380317416,"9","LumB"
"114",1.4051986624785,-5.0250541519103,"4","LumB"
"115",4.21966920421924,-4.66850398431738,"1","Basal"
"116",22.4074839145725,6.01731043416343,"9","LumA"
"117",3.85510262683425,12.0824854290154,"10","Normal"
"118",20.2843929156982,-6.16395881172306,"3","LumB"
"119",17.7468062493715,-1.57252540440222,"6","Basal"
"120",3.56620842392482,-27.9152804283012,"9","LumB"
"121",18.4106798387634,9.18514528055792,"6","Basal"
"122",11.1798828573119,-31.8685182758971,"1","Basal"
"123",14.4286896150668,-13.6081679233355,"9","LumA"
"124",13.3970777438746,-11.5246784204461,"10","LumA"
"125",-32.69486907968,-17.7703120360262,"1","LumB"
"126",36.4503884954513,11.9878955221047,"4","LumB"
"127",-39.7797402684092,-5.1193558279974,"1","LumA"
"128",-22.4330463008588,17.0826898864804,"5","LumA"
"129",-30.5870973665515,4.55774625954447,"9","LumB"
"130",25.9447736763755,-8.44752370159797,"6","Basal"
"131",-40.434986579353,3.57300875573558,"10","LumB"
"132",10.7496111972487,-8.00655407924166,"6","Basal"
"133",33.2803545778446,-4.08610249442083,"6","Basal"
"134",-15.1500543706829,33.4536844218317,"1","LumB"
"135",-0.128033071935304,7.88764898057948,"9","LumB"
"136",-1.79166930271174,38.3718106166036,"9","LumB"
"137",12.7398639881982,27.4373905913444,"9","LumB"
"138",13.4396791825556,19.9390658052785,"1","LumB"
"139",-7.91914625236315,41.6951042206515,"1","Her2"
"140",-1.00096334694972,34.0445246999239,"9","LumB"
"141",-15.5805318708467,-9.63264373732573,"4","LumA"
"142",25.7471413873231,-11.1415731072722,"9","Basal"
"143",26.3398131476435,9.55807293021664,"2","Her2"
"144",11.1378886240884,-15.5639887041319,"10","LumB"
"145",-15.5576859462569,-26.40768241139,"1","LumB"
"146",33.8700081436114,-23.6218806026201,"1","Normal"
"147",-13.4171619666454,-12.8436974976326,"9","LumA"
"148",-13.657282700246,-24.3191992171944,"4","LumB"
"149",31.4191416698489,-3.94235440199933,"2","Basal"
"150",21.5738835233704,2.57815614625991,"2","Basal"
"151",30.0100932251116,11.4086752644963,"10","Normal"
"152",-30.4540364118841,13.2340672723429,"2","LumA"
"153",-2.52200626607367,-24.1418178209771,"1","Her2"
"154",3.57231827420383,-6.65321222931974,"2","Basal"
"155",8.37984466442116,12.5351468316422,"9","LumB"
"156",8.96644315211281,-1.11202213370986,"10","Her2"
"157",-2.61599026142168,-34.3953898292187,"1","Basal"
"158",-19.5970428364191,33.7622956587459,"4","LumB"
"159",2.2206748978791,8.48843327879169,"1","LumB"
"160",-39.8186323982624,-7.48484027501002,"10","LumA"
"161",-11.6524922937684,18.2287154707713,"2","LumA"
"162",-34.1771300263785,-12.9361801748161,"9","LumB"
"163",13.6817891885666,0.0721185358132994,"9","Her2"
"164",5.63292567690429,-19.8358230016897,"4","LumB"
"165",-30.7190878268479,20.6144981001335,"9","LumB"
"166",-21.4465896516764,-18.4938878614481,"9","LumA"
"167",9.8074079497254,-24.1062896500948,"6","Basal"
"168",-20.2852011468824,-18.9127217311562,"1","LumB"
"169",25.3021407563986,-26.5237689614747,"1","LumB"
"170",6.3874941796393,33.3788274863457,"9","LumB"
"171",8.37888489856491,29.4261689769325,"9","LumB"
"172",2.33580220206875,-10.5350861163389,"9","LumB"
"173",3.54089412032952,-31.6961620967496,"4","LumB"
"174",-21.7557727294918,24.9034738102297,"4","Her2"
"175",-6.59470693066261,-14.2981796278128,"1","LumB"
"176",-3.52118419095861,28.6188659308894,"6","Basal"
"177",-2.05926810796166,-11.737817165644,"2","Basal"
"178",22.5669715569469,-27.4785460300358,"9","LumB"
"179",9.4647197246504,-1.19219881837579,"10","LumB"
"180",11.2921554691191,-16.4887475478539,"10","LumA"
"181",-4.35782193574303,-21.9235290700093,"1","LumB"
"182",23.7858001799216,-13.9148114616059,"6","Basal"
"183",-33.2358680194204,-21.4864872527992,"1","LumB"
"184",-28.5493834496671,21.9613725252361,"9","LumB"
"185",-1.67010431644963,-26.6532702928053,"1","LumB"
"186",6.66802384623184,30.0566975514716,"1","Her2"
"187",-17.0592623985037,23.6280631708611,"5","Normal"
"188",-33.1700889151241,14.7296433820282,"9","LumB"
"189",3.67549558718036,-26.7496839671447,"2","LumB"
"190",2.58539229933302,17.6623386070238,"4","LumB"
"191",10.9669254023146,24.3164968545603,"9","LumB"
